model,mask,rmse,mae,r2,n
G0_gcn_none,e1_r20_seed42,6.928699493408203,1.8406140804290771,0.1904186123717062,6610
G0_gcn_none,e1_r20_seed43,3.5058035850524902,1.6993526220321655,0.4704811878875006,6610
G0_gcn_none,e1_r20_seed44,5.096724510192871,1.8750501871109009,0.27133423626874864,6610
G0_gcn_none,e1_r40_seed42,7.216188907623291,1.915716528892517,0.14915738311923332,13219
G0_gcn_none,e1_r40_seed43,5.649437427520752,1.872717261314392,0.21465135802744906,13219
G0_gcn_none,e1_r40_seed44,4.75645637512207,1.8437448740005493,0.29708592063998285,13219
G0_gcn_none,e1_r60_seed42,6.407788276672363,1.9409139156341553,0.16539704758143647,19829
G0_gcn_none,e1_r60_seed43,4.985393047332764,1.8224806785583496,0.30664326204172965,19829
G0_gcn_none,e1_r60_seed44,5.826529502868652,1.8551498651504517,0.2130890450556896,19829
G0_gcn_none,e2a_strict,1.9012200832366943,1.3955649137496948,0.09041414126601777,3184
G0_gcn_none,e2b_partial,1.862451434135437,1.3777364492416382,0.07872011783414579,2547
G0_gcn_none,e3_spatial,7.108046054840088,1.6753923892974854,-2.3416234672909058,5068
G0_gcn_random,e3_spatial,7.464248180389404,2.387195587158203,-2.684929505449774,5068
G0_gcn_random,e1_r20_seed42,7.193313121795654,2.108008623123169,0.12740045143041057,6610
G0_gcn_random,e1_r20_seed43,4.101935386657715,1.994544267654419,0.2750904123450647,6610
G0_gcn_random,e1_r20_seed44,5.627818584442139,2.197643280029297,0.11156380182932613,6610
G0_gcn_random,e1_r40_seed42,7.55452823638916,2.2161238193511963,0.06750143593859781,13219
G0_gcn_random,e1_r40_seed43,5.878731727600098,2.09619140625,0.14960761606662532,13219
G0_gcn_random,e1_r40_seed44,5.317020893096924,2.1424245834350586,0.12164122658276622,13219
G0_gcn_random,e1_r60_seed42,6.646203994750977,2.1526503562927246,0.10213516401086697,19829
G0_gcn_random,e1_r60_seed43,5.539605140686035,2.1215741634368896,0.1439176918793379,19829
G0_gcn_random,e1_r60_seed44,6.182384490966797,2.1522040367126465,0.11403275041230077,19829
G0_gcn_random,e2a_strict,1.8451770544052124,1.2660188674926758,0.14324815983094452,3184
G0_gcn_random,e2b_partial,1.793810486793518,1.2357125282287598,0.14537657394614045,2547
G0_gcn_river,e1_r20_seed42,6.826029300689697,1.753252625465393,0.21423379490236505,6610
G0_gcn_river,e1_r20_seed43,3.473076581954956,1.7351539134979248,0.48032121626461843,6610
G0_gcn_river,e1_r20_seed44,4.671224117279053,1.7370541095733643,0.387921052872381,6610
G0_gcn_river,e1_r40_seed42,7.12722110748291,1.7728092670440674,0.17000794546253062,13219
G0_gcn_river,e1_r40_seed43,5.46511173248291,1.7597789764404297,0.2650629266231458,13219
G0_gcn_river,e1_r40_seed44,4.5362091064453125,1.773827314376831,0.36067545578487514,13219
G0_gcn_river,e1_r60_seed42,6.325901031494141,1.9051004648208618,0.18659197675911543,19829
G0_gcn_river,e1_r60_seed43,5.083380699157715,1.764743685722351,0.2791195409420171,19829
G0_gcn_river,e1_r60_seed44,5.766684055328369,1.9430352449417114,0.22917113099032482,19829
G0_gcn_river,e2a_strict,1.9377042055130005,1.4477031230926514,0.05516949159083073,3184
G0_gcn_river,e2b_partial,1.8563807010650635,1.3805252313613892,0.08471630679892594,2547
G0_gcn_river,e3_spatial,3.1987688541412354,1.6962717771530151,0.3232585880902775,5068
H1_directed_river,e1_r20_seed42,6.674249172210693,1.541602611541748,0.2487890858793298,6610
H1_directed_river,e1_r20_seed43,3.235607147216797,1.443561315536499,0.5489571480466952,6610
H1_directed_river,e1_r20_seed44,4.282253265380859,1.5243974924087524,0.48561210255270437,6610
H1_directed_river,e1_r40_seed42,6.975651741027832,1.6057851314544678,0.20493422107235548,13219
H1_directed_river,e1_r40_seed43,5.062185287475586,1.5263876914978027,0.3694374368267336,13219
H1_directed_river,e1_r40_seed44,4.282357692718506,1.5188356637954712,0.43022803162366785,13219
H1_directed_river,e1_r60_seed42,6.180803298950195,1.6402902603149414,0.22347843680654134,19829
H1_directed_river,e1_r60_seed43,4.938815593719482,1.57701575756073,0.31953850635571335,19829
H1_directed_river,e1_r60_seed44,5.619231224060059,1.6406981945037842,0.2680870041002491,19829
H1_directed_river,e2a_strict,1.6437976360321045,1.094254493713379,0.32005211207492035,3184
H1_directed_river,e2b_partial,1.5823020935058594,1.0668835639953613,0.33503239950207253,2547
H1_directed_river,e3_spatial,7.078641414642334,1.8746939897537231,-2.31403330171015,5068
